Position,"Track Name",Artist,Streams,URL
125,Classic,MKTO,6252786,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
126,"Trava na Pose, Chama no Zoom, Dá um Close (feat. Mc Rennan)","DJ Patrick Muniz",6239005,https://open.spotify.com/track/0DsPj89zlY3Us7xb5cXK5h
127,RAPSTAR,"Polo G",6225850,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
128,Dandelions,"Ruth B.",6204526,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
129,SEJODIOTO,"KAROL G",6192868,https://open.spotify.com/track/704LUEih663hiE3CnyUrFW
130,"Nuestra Canción","Monsieur Periné",6178682,https://open.spotify.com/track/5reQI13tWWYDLMrGcUF4Mk
131,"Smells Like Teen Spirit",Nirvana,6144037,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
132,Arcade,"Duncan Laurence",6110795,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
133,Heather,"Conan Gray",6086975,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
134,"favorite crime","Olivia Rodrigo",6072738,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
135,"Daddy Issues","The Neighbourhood",6066131,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
136,Infinity,"Jaymes Young",5998741,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
137,"Take Me To Church",Hozier,5958779,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
138,"Send My Love (To Your New Lover)",Adele,5957256,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
139,"Heartbreak Anniversary",Giveon,5917780,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
140,"Revoada No Colchão","Zé Felipe",5916508,https://open.spotify.com/track/4kGdnA7FzSVsXC29LPghej
141,"you broke me first","Tate McRae",5914663,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
142,"GHOST TOWN","Benson Boone",5904599,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
143,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,5903099,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
144,Shallow,"Lady Gaga",5894988,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
145,"jealousy, jealousy","Olivia Rodrigo",5894419,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
146,"The Nights",Avicii,5855216,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
147,"Counting Stars",OneRepublic,5819496,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
148,"The Real Slim Shady",Eminem,5808400,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
149,"Not In The Mood (feat. Fivio Foreign & Kay Flock)","Lil Tjay",5796357,https://open.spotify.com/track/25GyyK9CyZRiDCsPY51fIT
150,"Mon Amour - Remix",zzoilo,5781754,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
151,"Talking to the Moon","Bruno Mars",5757889,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
152,"Bubbly (with Drake & Travis Scott)","Young Thug",5744324,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
